procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
1,646,15,6,424,15.99,6779.76,12,658,94.9,PO-BOAT-2024-294458
2,651,7,1,400,12.99,5196.0,17,668,96.9,PO-BOAT-2024-189045
3,632,16,3,968,19.99,19350.32,13,645,98.0,PO-BOAT-2024-394238
4,62,12,1,400,11.99,4796.0,8,70,98.4,PO-BOAT-2023-777368
5,315,13,4,400,16.99,6796.0,16,331,98.6,PO-BOAT-2023-137156
6,707,7,1,400,12.99,5196.0,17,724,95.8,PO-BOAT-2024-134885
7,440,10,3,400,54.99,21996.0,13,453,98.6,PO-BOAT-2024-120032
8,571,16,5,400,19.99,7996.0,11,582,97.3,PO-BOAT-2024-476806
9,717,16,3,616,19.99,12313.84,7,724,96.3,PO-BOAT-2024-408069
10,563,2,1,400,17.99,7196.0,11,574,98.9,PO-BOAT-2024-364156
11,142,5,5,432,24.99,10795.68,10,152,94.7,PO-BOAT-2023-661501
12,69,2,7,400,17.99,7196.0,11,80,93.0,PO-BOAT-2023-678391
13,386,15,5,400,15.99,6396.0,13,399,95.2,PO-BOAT-2024-431618
14,37,7,4,400,12.99,5196.0,10,47,98.0,PO-BOAT-2023-830522
15,220,8,4,400,9.99,3996.0,8,228,99.9,PO-BOAT-2023-217550
16,67,5,2,776,24.99,19392.24,13,80,96.2,PO-BOAT-2023-814357
17,195,8,6,400,9.99,3996.0,6,201,95.3,PO-BOAT-2023-445926
18,237,14,5,400,13.99,5596.0,12,249,97.3,PO-BOAT-2023-560526
19,103,5,7,400,24.99,9996.0,12,115,93.9,PO-BOAT-2023-762651
20,205,7,4,400,12.99,5196.0,14,219,99.3,PO-BOAT-2023-856788
21,156,5,6,400,24.99,9996.0,6,162,96.3,PO-BOAT-2023-824336
22,200,9,2,400,6.99,2796.0,10,210,95.3,PO-BOAT-2023-580841
23,308,3,4,400,13.99,5596.0,11,319,99.8,PO-BOAT-2023-204480
24,652,11,4,400,39.99,15996.0,11,663,97.4,PO-BOAT-2024-539794
25,600,2,3,400,17.99,7196.0,15,615,98.5,PO-BOAT-2024-895980
26,594,11,2,400,39.99,15996.0,17,611,97.0,PO-BOAT-2024-294217
27,277,8,5,400,9.99,3996.0,8,285,96.9,PO-BOAT-2023-933787
28,369,13,2,400,16.99,6796.0,11,380,98.6,PO-BOAT-2024-816018
29,638,16,6,520,19.99,10394.8,14,652,97.1,PO-BOAT-2024-264751
30,530,11,7,400,39.99,15996.0,10,540,96.8,PO-BOAT-2024-196801
31,159,16,6,1616,19.99,32303.84,9,168,97.7,PO-BOAT-2023-703197
32,163,11,3,400,39.99,15996.0,17,180,97.4,PO-BOAT-2023-456261
33,71,13,7,400,16.99,6796.0,11,82,93.8,PO-BOAT-2023-934202
34,646,15,5,400,15.99,6396.0,15,661,96.5,PO-BOAT-2024-939438
35,287,16,5,400,19.99,7996.0,14,301,96.5,PO-BOAT-2023-601658
36,574,15,4,448,15.99,7163.52,14,588,97.6,PO-BOAT-2024-367012
37,717,16,7,624,19.99,12473.76,12,729,95.0,PO-BOAT-2024-437252
38,57,2,2,400,17.99,7196.0,8,65,97.1,PO-BOAT-2023-996535
39,336,3,5,400,13.99,5596.0,15,351,95.8,PO-BOAT-2023-421505
40,10,6,4,400,15.99,6396.0,13,23,98.7,PO-BOAT-2023-519721
41,185,4,7,424,10.99,4659.76,14,199,93.4,PO-BOAT-2023-298942
42,666,5,3,400,24.99,9996.0,9,675,97.5,PO-BOAT-2024-789775
43,91,1,6,400,18.99,7596.0,11,102,97.3,PO-BOAT-2023-620321
44,494,6,7,400,15.99,6396.0,10,504,94.6,PO-BOAT-2024-998998
45,483,11,4,400,39.99,15996.0,17,500,97.4,PO-BOAT-2024-784302
46,215,13,4,400,16.99,6796.0,18,233,98.3,PO-BOAT-2023-803497
47,568,8,7,400,9.99,3996.0,9,577,96.3,PO-BOAT-2024-923233
48,717,3,4,520,13.99,7274.8,8,725,97.0,PO-BOAT-2024-472703
49,680,7,7,400,12.99,5196.0,5,685,93.4,PO-BOAT-2024-482929
50,44,12,6,400,11.99,4796.0,10,54,97.7,PO-BOAT-2023-368485
51,445,14,5,400,13.99,5596.0,16,461,96.3,PO-BOAT-2024-664372
