production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
1,376,11,3,480,5,1.04,BOAT-PROD-2024017422
2,78,13,3,648,5,0.77,BOAT-PROD-2023039595
3,441,4,1,15976,192,1.2,BOAT-PROD-2024033020
4,161,1,3,13624,101,0.74,BOAT-PROD-2023068538
5,529,13,2,320,1,0.31,BOAT-PROD-2024062367
6,552,10,3,984,2,0.2,BOAT-PROD-2024073326
7,548,2,2,6400,32,0.5,BOAT-PROD-2024079100
8,378,9,2,2656,15,0.56,BOAT-PROD-2024014567
9,339,7,2,2400,9,0.38,BOAT-PROD-2023123716
10,158,3,2,6400,44,0.69,BOAT-PROD-2023067583
11,230,2,2,6400,44,0.69,BOAT-PROD-2023089733
12,276,14,2,824,8,0.97,BOAT-PROD-2023105400
13,341,13,1,1448,8,0.55,BOAT-PROD-2023122098
14,646,10,1,1248,11,0.88,BOAT-PROD-2024106808
15,111,11,1,1064,9,0.85,BOAT-PROD-2023048563
16,605,11,1,2800,32,1.14,BOAT-PROD-2024086958
17,585,2,3,6400,60,0.94,BOAT-PROD-2024082280
18,212,15,1,4800,29,0.6,BOAT-PROD-2023072087
19,106,12,3,632,2,0.32,BOAT-PROD-2023041901
20,564,10,3,2800,18,0.64,BOAT-PROD-2024077788
21,216,4,1,14744,119,0.81,BOAT-PROD-2023086417
22,586,3,3,6400,40,0.62,BOAT-PROD-2024084097
23,100,9,2,6048,28,0.46,BOAT-PROD-2023045191
24,687,5,1,6400,27,0.42,BOAT-PROD-2024115530
25,280,8,2,2400,6,0.25,BOAT-PROD-2023106662
26,198,3,3,8656,98,1.13,BOAT-PROD-2023078098
27,619,9,1,5816,48,0.83,BOAT-PROD-2024091080
28,699,11,3,880,2,0.23,BOAT-PROD-2024111729
29,470,9,3,4936,41,0.83,BOAT-PROD-2024042891
30,710,7,2,5048,59,1.17,BOAT-PROD-2024122701
31,364,16,2,9016,88,0.98,BOAT-PROD-2023126712
32,554,10,1,2152,19,0.88,BOAT-PROD-2024075362
33,563,1,2,6400,58,0.91,BOAT-PROD-2024077578
34,436,10,1,2800,12,0.43,BOAT-PROD-2024033992
35,3,6,1,9272,44,0.47,BOAT-PROD-2023013222
36,416,7,2,2400,21,0.88,BOAT-PROD-2024023921
37,609,8,2,4848,38,0.78,BOAT-PROD-2024087518
38,378,4,1,8776,25,0.28,BOAT-PROD-2024011428
39,7,12,3,2800,18,0.64,BOAT-PROD-2023015529
40,26,6,1,10928,44,0.4,BOAT-PROD-2023017556
41,491,15,3,5664,53,0.94,BOAT-PROD-2024054043
42,275,14,2,2000,23,1.15,BOAT-PROD-2023108086
43,244,4,3,6400,11,0.17,BOAT-PROD-2023092603
44,672,16,3,4800,12,0.25,BOAT-PROD-2024113497
45,415,16,2,24120,232,0.96,BOAT-PROD-2024027386
46,658,12,1,2800,30,1.07,BOAT-PROD-2024109796
47,481,7,1,4952,33,0.67,BOAT-PROD-2024043644
48,279,2,1,10840,112,1.03,BOAT-PROD-2023101250
49,455,1,3,8296,34,0.41,BOAT-PROD-2024032663
50,614,8,3,6560,15,0.23,BOAT-PROD-2024098687
51,610,13,2,936,4,0.43,BOAT-PROD-2024098206
52,207,7,1,2400,25,1.04,BOAT-PROD-2023074339
53,286,16,1,27360,178,0.65,BOAT-PROD-2023109706
54,299,12,2,2304,25,1.09,BOAT-PROD-2023104861
55,693,9,2,13680,153,1.12,BOAT-PROD-2024118549
56,28,16,1,30672,110,0.36,BOAT-PROD-2023012415
57,65,14,2,1464,13,0.89,BOAT-PROD-2023036297
58,383,6,1,6880,12,0.17,BOAT-PROD-2024014271
59,178,11,1,480,3,0.62,BOAT-PROD-2023067811
60,375,16,2,4800,20,0.42,BOAT-PROD-2024012100
61,349,14,1,2000,8,0.4,BOAT-PROD-2023122644
62,47,13,2,2000,12,0.6,BOAT-PROD-2023024715
63,477,4,3,6400,46,0.72,BOAT-PROD-2024045933
64,439,15,1,4800,40,0.83,BOAT-PROD-2024034235
65,402,6,1,14304,154,1.08,BOAT-PROD-2024021288
66,39,7,3,4368,35,0.8,BOAT-PROD-2023024380
67,229,12,3,2488,28,1.13,BOAT-PROD-2023082925
68,468,1,1,6400,65,1.02,BOAT-PROD-2024046613
69,32,13,1,1144,10,0.87,BOAT-PROD-2023028079
70,145,1,2,6400,36,0.56,BOAT-PROD-2023057860
71,302,6,3,12944,31,0.24,BOAT-PROD-2023105939
72,261,16,2,11320,78,0.69,BOAT-PROD-2023093222
73,121,13,1,680,3,0.44,BOAT-PROD-2023054544
74,425,14,2,1416,7,0.49,BOAT-PROD-2024024063
75,242,3,3,6400,61,0.95,BOAT-PROD-2023084468
76,542,2,3,6400,67,1.05,BOAT-PROD-2024066821
77,330,3,2,11928,87,0.73,BOAT-PROD-2023114624
78,282,13,2,728,6,0.82,BOAT-PROD-2023109129
79,411,9,1,4408,25,0.57,BOAT-PROD-2024021106
80,303,12,2,2800,8,0.29,BOAT-PROD-2023102250
81,217,5,2,6400,20,0.31,BOAT-PROD-2023085280
82,8,8,2,4208,7,0.17,BOAT-PROD-2023018414
