sales_id,date_key,product_id,customer_id,quantity_sold,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,order_number
1,226,15,5,288,27.99,0,0.0,8061.12,8061.12,4605.12,3456.0,42.87,BOAT-ORD-202308-895667
2,164,14,3,40,24.99,0,0.0,999.6,999.6,559.6,440.0,44.02,BOAT-ORD-202306-325772
3,345,4,1,392,19.99,0,0.0,7836.08,7836.08,4308.08,3528.0,45.02,BOAT-ORD-202312-476417
4,353,9,1,240,12.99,15,467.64,3117.6,2649.96,1677.6,972.36,36.69,BOAT-ORD-202312-230889
5,388,3,5,152,24.99,25,949.62,3798.48,2848.86,2126.48,722.38,25.36,BOAT-ORD-202401-759176
6,634,12,5,32,19.99,0,0.0,639.68,639.68,383.68,256.0,40.02,BOAT-ORD-202409-148050
7,678,8,3,48,17.99,25,215.88,863.52,647.64,479.52,168.12,25.96,BOAT-ORD-202411-344098
8,104,13,3,64,29.99,0,0.0,1919.36,1919.36,1087.36,832.0,43.35,BOAT-ORD-202304-270555
9,380,12,2,88,19.99,5,87.96,1759.12,1671.16,1055.12,616.04,36.86,BOAT-ORD-202401-835911
10,700,3,5,176,24.99,15,659.74,4398.24,3738.5,2462.24,1276.26,34.14,BOAT-ORD-202411-864544
11,251,6,4,200,27.99,0,0.0,5598.0,5598.0,3198.0,2400.0,42.87,BOAT-ORD-202309-771088
12,705,8,3,32,17.99,0,0.0,575.68,575.68,319.68,256.0,44.47,BOAT-ORD-202412-961722
13,33,11,4,40,64.99,0,0.0,2599.6,2599.6,1599.6,1000.0,38.47,BOAT-ORD-202302-321231
14,581,11,2,88,64.99,5,285.96,5719.12,5433.16,3519.12,1914.04,35.23,BOAT-ORD-202408-514850
15,659,15,2,272,27.99,0,0.0,7613.28,7613.28,4349.28,3264.0,42.87,BOAT-ORD-202410-358607
16,575,9,5,112,12.99,10,145.49,1454.88,1309.39,782.88,526.51,40.21,BOAT-ORD-202407-518801
17,371,8,2,136,17.99,10,244.66,2446.64,2201.98,1358.64,843.34,38.3,BOAT-ORD-202401-195325
18,49,4,2,328,19.99,0,0.0,6556.72,6556.72,3604.72,2952.0,45.02,BOAT-ORD-202302-930555
19,697,14,5,24,24.99,10,59.98,599.76,539.78,335.76,204.02,37.8,BOAT-ORD-202411-500156
20,611,15,5,264,27.99,10,738.94,7389.36,6650.42,4221.36,2429.06,36.52,BOAT-ORD-202409-112038
21,697,4,5,280,19.99,25,1399.3,5597.2,4197.9,3077.2,1120.7,26.7,BOAT-ORD-202411-772097
22,349,4,3,448,19.99,0,0.0,8955.52,8955.52,4923.52,4032.0,45.02,BOAT-ORD-202312-575763
23,4,9,5,200,12.99,0,0.0,2598.0,2598.0,1398.0,1200.0,46.19,BOAT-ORD-202301-632342
24,109,10,5,80,89.99,0,0.0,7199.2,7199.2,4399.2,2800.0,38.89,BOAT-ORD-202304-260263
25,383,6,5,400,27.99,15,1679.4,11196.0,9516.6,6396.0,3120.6,32.79,BOAT-ORD-202401-100599
26,614,11,4,8,64.99,0,0.0,519.92,519.92,319.92,200.0,38.47,BOAT-ORD-202409-480612
27,315,8,1,128,17.99,15,345.41,2302.72,1957.31,1278.72,678.59,34.67,BOAT-ORD-202311-182582
28,88,16,1,552,34.99,0,0.0,19314.48,19314.48,11034.48,8280.0,42.87,BOAT-ORD-202303-234628
29,676,16,5,176,34.99,5,307.91,6158.24,5850.33,3518.24,2332.09,39.86,BOAT-ORD-202411-653306
30,622,14,2,72,24.99,0,0.0,1799.28,1799.28,1007.28,792.0,44.02,BOAT-ORD-202409-847581
31,320,13,3,120,29.99,15,539.82,3598.8,3058.98,2038.8,1020.18,33.35,BOAT-ORD-202311-573417
32,124,8,2,24,17.99,0,0.0,431.76,431.76,239.76,192.0,44.47,BOAT-ORD-202305-122056
33,603,8,5,64,17.99,0,0.0,1151.36,1151.36,639.36,512.0,44.47,BOAT-ORD-202408-174441
34,725,2,2,72,32.99,0,0.0,2375.28,2375.28,1295.28,1080.0,45.47,BOAT-ORD-202412-446479
35,73,8,3,176,17.99,5,158.31,3166.24,3007.93,1758.24,1249.69,41.55,BOAT-ORD-202303-324643
