shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
1,648,658,12,3,2,184,Maersk Line,Delivered,191.73,64.4,BOAT9551166427,
2,489,516,12,5,5,648,DB Schenker,In Transit,237.56,226.8,BOAT1542288166,
3,357,373,12,3,1,312,XPO Logistics,Delayed,213.09,109.2,BOAT1070033276,Security Check
4,424,435,10,5,2,512,DHL Express,Delivered,5375.25,1638.4,BOAT7255101456,
5,515,528,1,4,1,2248,FedEx International,Delivered,476.0,101.16,BOAT1783808225,
6,520,527,1,3,1,4392,FedEx International,Delivered,1064.08,197.64,BOAT1248895462,
7,252,268,3,4,1,3456,XPO Logistics,Delivered,1333.88,145.15,BOAT4609517287,
8,382,401,6,1,3,5048,C.H. Robinson,Delivered,1183.23,217.06,BOAT9677111047,
9,489,501,4,1,4,4864,DHL Express,In Transit,952.06,194.56,BOAT2375902193,
10,295,314,11,4,4,368,DB Schenker,In Transit,1328.95,772.8,BOAT3703546943,
11,141,159,13,2,1,88,FedEx International,Delivered,48.21,21.12,BOAT2506458339,
12,114,121,5,4,4,5936,FedEx International,Delivered,1175.11,296.8,BOAT4722223970,
13,270,290,5,4,2,928,XPO Logistics,Delivered,77.57,46.4,BOAT6226352739,
14,393,404,9,4,5,88,XPO Logistics,Delivered,19.94,4.4,BOAT9287420025,
15,62,84,11,6,1,400,FedEx International,Delivered,1073.16,840.0,BOAT2183243834,
16,715,729,7,3,5,5232,DHL Express,Delivered,926.1,313.92,BOAT6118911135,
17,231,242,7,1,2,3032,CMA CGM,Delivered,1000.62,181.92,BOAT1671318724,
18,298,316,6,4,3,4904,FedEx International,Delivered,1403.24,210.87,BOAT8825170768,
19,379,392,3,3,3,3368,UPS Worldwide,Delivered,935.05,141.46,BOAT6685909963,
20,28,37,11,2,4,368,Kuehne+Nagel,Delivered,919.87,772.8,BOAT4659613908,
21,83,91,8,1,4,416,FedEx International,Delivered,89.0,22.88,BOAT1934869936,
22,475,484,4,6,1,5440,XPO Logistics,Delivered,1235.01,217.6,BOAT4222597659,
23,60,71,15,4,1,152,CMA CGM,In Transit,9.74,6.84,BOAT9725731371,
24,692,705,10,2,4,848,FedEx International,Delivered,10752.0,2713.6,BOAT1289192796,
25,523,537,5,4,4,4224,C.H. Robinson,Delivered,1016.11,211.2,BOAT2971567896,
26,521,528,2,6,4,2488,DB Schenker,Delivered,492.05,111.96,BOAT3982492367,
27,577,602,6,4,3,80,CMA CGM,Delivered,24.86,3.44,BOAT7021590729,
28,538,547,9,4,4,6232,DB Schenker,Delivered,1725.89,311.6,BOAT1000677678,
29,546,557,1,2,2,8688,C.H. Robinson,In Transit,1796.46,390.96,BOAT2324142596,
30,469,484,13,5,1,216,XPO Logistics,Delivered,80.6,51.84,BOAT1815641850,
31,286,291,15,6,5,4792,XPO Logistics,Delivered,1247.95,215.64,BOAT5909679115,
32,427,448,5,2,2,4520,C.H. Robinson,Delivered,1256.84,226.0,BOAT4406063656,
33,327,337,13,4,5,5856,Maersk Line,Delivered,8785.02,1405.44,BOAT9882098812,
34,303,330,2,4,1,4448,CMA CGM,Delivered,1739.17,200.16,BOAT7818870353,
35,638,654,2,2,3,2904,XPO Logistics,Delivered,773.06,130.68,BOAT4224262568,
36,450,472,9,4,2,408,DB Schenker,Delivered,73.02,20.4,BOAT4308480918,
